Entity,Hypernym
Sandy_Hook_Elementary_School_shooting,Not found
C-SPAN,Cable
Project_Cassandra,Not found
Kansas,State
Palestinians,Group
Havana,City
Mars,Planet
Nelson_Mandela,Revolutionary
George_Zimmerman,American
Benghazi,City
Alaska,State
Evan_Bayh,Lawyer
Indiana,State
Denver,Capital
Great_Depression,Depression
Developing_Communities_Project,Faith
Somerville_station,Not found
Federal_Election_Commission,Agency
Space_Shuttle,Not found
Iron_Dome,System
Keystone_Pipeline,System
