Entity,DBpedia_URI
Tim Kaine,http://dbpedia.org/resource/Tim_Kaine
Islamabad,http://dbpedia.org/resource/Islamabad
the Chicago White Sox,http://dbpedia.org/resource/Chicago_White_Sox
LGBT,http://dbpedia.org/resource/LGBT
Egypt,http://dbpedia.org/resource/Egypt
the Illinois Senate,http://dbpedia.org/resource/Illinois_Senate
Labor,http://dbpedia.org/resource/Australian_Labor_Party
Iowa,http://dbpedia.org/resource/Iowa
Tony Rezko,http://dbpedia.org/resource/Tony_Rezko
Chrysler,http://dbpedia.org/resource/Chrysler
Massachusetts,http://dbpedia.org/resource/Massachusetts
the New York Public Interest Research Group,http://dbpedia.org/resource/New_York_Public_Interest_Research_Group
East Jerusalem,http://dbpedia.org/resource/East_Jerusalem
Super Bowl,http://dbpedia.org/resource/Super_Bowl
UN Security Council Resolution,http://dbpedia.org/resource/United_Nations_Security_Council
Bill Clinton's,http://dbpedia.org/resource/Bill_Clinton
Donald Trump,http://dbpedia.org/resource/Donald_Trump
Franklin D. Roosevelt,http://dbpedia.org/resource/Benjamin_Franklin
United Nations Security Council Resolution,http://dbpedia.org/resource/United_Nations_Security_Council
Fisher House Foundation,http://dbpedia.org/resource/Fisher_House_Foundation
LGBT Americans,http://dbpedia.org/resource/LGBT
Central Asia,http://dbpedia.org/resource/Central_Asia
Obergefell,http://dbpedia.org/resource/Obergefell_v._Hodges
Molokai,http://dbpedia.org/resource/Molokai
the Trans-Pacific Partnership,http://dbpedia.org/resource/Trans-Pacific_Partnership
Baghdad,http://dbpedia.org/resource/Baghdad
Protestant,http://dbpedia.org/resource/Protestantism
Israel,http://dbpedia.org/resource/Israel
Dick Cheney,http://dbpedia.org/resource/Dick_Cheney
Virginia,http://dbpedia.org/resource/Virginia
Super Bowl XLIII,http://dbpedia.org/resource/Super_Bowl_XLIII
France,http://dbpedia.org/resource/France
Invesco Field,http://dbpedia.org/resource/Invesco
Pentagon,http://dbpedia.org/resource/The_Pentagon
18 months,http://dbpedia.org/resource/18_Months
Mahmoud Abbas,http://dbpedia.org/resource/Mahmoud_Abbas
John McCain,http://dbpedia.org/resource/John_McCain
White House,http://dbpedia.org/resource/White_House
Stanley Dunham,http://dbpedia.org/resource/Stanley_Armour_Dunham
the Obama Foundation's,http://dbpedia.org/resource/Obama_Foundation
Indonesia,http://dbpedia.org/resource/Indonesia
the Secure Communities,http://dbpedia.org/resource/Secure_Communities
Chicago,http://dbpedia.org/resource/Chicago
Harvard,http://dbpedia.org/resource/Harvard_University
Cairo University,http://dbpedia.org/resource/Cairo_University
David Souter,http://dbpedia.org/resource/David_Souter
Hillary Clinton,http://dbpedia.org/resource/Hillary_Clinton
the 82nd Airborne Division,http://dbpedia.org/resource/82nd_Airborne_Division
Kalorama,"http://dbpedia.org/resource/Kalorama_(Washington,_D.C.)"
The Congressional Budget Office,http://dbpedia.org/resource/Congressional_Budget_Office
Ronald Reagan,http://dbpedia.org/resource/Ronald_Reagan
the Gulf of Mexico,http://dbpedia.org/resource/Mexico
Anwar al-Awlaki,http://dbpedia.org/resource/Anwar_al-Awlaki
Texas,http://dbpedia.org/resource/Texas
Hamas,http://dbpedia.org/resource/Hamas
the Obama Foundation,http://dbpedia.org/resource/Obama_Foundation
Money Magazine,http://dbpedia.org/resource/Money_(magazine)
Bill Clinton,http://dbpedia.org/resource/Bill_Clinton
Ted Kennedy,http://dbpedia.org/resource/Ted_Kennedy
Tom Coburn,http://dbpedia.org/resource/Tom_Coburn
the Pittsburgh Steelers,http://dbpedia.org/resource/Pittsburgh_Steelers
Leon Panetta,http://dbpedia.org/resource/Leon_Panetta
Maya Soetoro,http://dbpedia.org/resource/Maya_Soetoro-Ng
Pew Research Center,http://dbpedia.org/resource/Pew_Research_Center
the Illinois Senate's,http://dbpedia.org/resource/Illinois_Senate
"The Obama Foundation
Official",http://dbpedia.org/resource/Obama_Foundation
the White House Council on Women and Girls,http://dbpedia.org/resource/White_House
Syria,http://dbpedia.org/resource/Syria
Libya,http://dbpedia.org/resource/Libya
Mexico City,http://dbpedia.org/resource/Mexico_City
Menteng,http://dbpedia.org/resource/Menteng
"Barack Obama

",http://dbpedia.org/resource/Barack_Obama
the South Side of Chicago,http://dbpedia.org/resource/Chicago
Project Gutenberg,http://dbpedia.org/resource/Project_Gutenberg
the Secret Service,http://dbpedia.org/resource/United_States_Secret_Service
Hobby Lobby,http://dbpedia.org/resource/Hobby_Lobby
Iraq,http://dbpedia.org/resource/Iraq
Taliban,http://dbpedia.org/resource/Taliban
American Factory,http://dbpedia.org/resource/American_Factory
Vatican City,http://dbpedia.org/resource/Vatican_City
United Nations Security Council Resolution 2334,http://dbpedia.org/resource/United_Nations_Security_Council_Resolution_2334
Assisi Catholic Elementary School,http://dbpedia.org/resource/Assisi
Melbourne,http://dbpedia.org/resource/Melbourne
Anthony Albanese,http://dbpedia.org/resource/Anthony_Albanese
the Great Recession,http://dbpedia.org/resource/Great_Recession
Jack Ryan,http://dbpedia.org/resource/Jack_Ryan
Harvard Law School,http://dbpedia.org/resource/Harvard_Law_School
the Woods Fund of Chicago,http://dbpedia.org/resource/Chicago
A Promised Land,http://dbpedia.org/resource/Promised_Land
the Democratic National Convention,http://dbpedia.org/resource/Democratic_National_Convention
the National Security Agency,http://dbpedia.org/resource/National_Security_Agency
Tom Carper,http://dbpedia.org/resource/Tom_Carper
Russia,http://dbpedia.org/resource/Russia
White Sox,http://dbpedia.org/resource/Chicago_White_Sox
Arctic Oceans,http://dbpedia.org/resource/Arctic
Ben Bernanke,http://dbpedia.org/resource/Ben_Bernanke
the Harvard Law Review,http://dbpedia.org/resource/Harvard_Law_Review
Margaret Thatcher,http://dbpedia.org/resource/Margaret_Thatcher
Johannesburg,http://dbpedia.org/resource/Johannesburg
Bobby Rush,http://dbpedia.org/resource/Rush_(band)
"the Chicago Tribune
Works",http://dbpedia.org/resource/Chicago_Tribune
The Barack Obama Presidential Center,http://dbpedia.org/resource/Barack_Obama_Presidential_Center
Central Intelligence Agency,http://dbpedia.org/resource/Central_Intelligence_Agency
NATO,http://dbpedia.org/resource/NATO
White House Office of Energy and Climate Change Policy,http://dbpedia.org/resource/White_House
the Foreign Intelligence Surveillance Court,http://dbpedia.org/resource/Surveillance_court
the Chicago Annenberg Challenge,http://dbpedia.org/resource/Chicago
Strategic Arms Reduction Treaty,http://dbpedia.org/resource/START_I
the Antiquities Act,http://dbpedia.org/resource/Antiquities_Act
U.S. Senate,http://dbpedia.org/resource/United_States_Senate
McCormick Place,http://dbpedia.org/resource/McCormick_Place
Wisconsin,http://dbpedia.org/resource/Wisconsin
Nobel Peace Prize,http://dbpedia.org/resource/Nobel_Peace_Prize
World War II,http://dbpedia.org/resource/World_War_II
John Paul Stevens,http://dbpedia.org/resource/John_Paul_Stevens
ISIL,http://dbpedia.org/resource/Islamic_State_of_Iraq_and_the_Levant
West Pullman,http://dbpedia.org/resource/West_Pullman_station
Ann Dunham,http://dbpedia.org/resource/Ann_Dunham
Calvin Coolidge,http://dbpedia.org/resource/Calvin_Coolidge
Nobelprize.org,http://dbpedia.org/resource/Nobel_Prize
Netflix,http://dbpedia.org/resource/Netflix
Iraq War,http://dbpedia.org/resource/Iraq_War
the Sidwell Friends School,http://dbpedia.org/resource/Sidwell_Friends_School
Mosul,http://dbpedia.org/resource/Mosul
Ronald Reagan's,http://dbpedia.org/resource/Ronald_Reagan
South Jakarta,http://dbpedia.org/resource/South_Jakarta
the Syrian civil war,http://dbpedia.org/resource/Syrian_Civil_War
Mitt Romney,http://dbpedia.org/resource/Mitt_Romney
Paul Ryan,http://dbpedia.org/resource/Paul_Ryan
Sidley Austin,http://dbpedia.org/resource/Sidley_Austin
the Gallup Organization,http://dbpedia.org/resource/Gallup_(company)
Times Square,http://dbpedia.org/resource/Times_Square
Jakarta,http://dbpedia.org/resource/Jakarta
Al-Qaeda,http://dbpedia.org/resource/Al-Qaeda
the Drug Enforcement Administration's,http://dbpedia.org/resource/Drug_Enforcement_Administration
the U.S. Bureau of Labor Statistics,http://dbpedia.org/resource/Australian_Labor_Party
Edward Snowden,http://dbpedia.org/resource/Edward_Snowden
Hurricane Harvey,http://dbpedia.org/resource/Hurricane_Harvey
the Federal Reserve,http://dbpedia.org/resource/Federal_Reserve
Menteng Dalam,http://dbpedia.org/resource/Menteng
New York City's,http://dbpedia.org/resource/New_York_City
Jeremiah Wright,http://dbpedia.org/resource/Jeremiah_Wright
Operation Unified Protector,http://dbpedia.org/resource/Operation_Unified_Protector
Kenya,http://dbpedia.org/resource/Kenya
the Macondo Prospect,http://dbpedia.org/resource/Macondo_Prospect
the University of Chicago Law School,http://dbpedia.org/resource/Chicago
Missouri,http://dbpedia.org/resource/Missouri
the University of Hawaii,http://dbpedia.org/resource/Hawaii
Alan Keyes,http://dbpedia.org/resource/Alan_Keyes
Sanaa,http://dbpedia.org/resource/Sanaʽa
Putin,http://dbpedia.org/resource/Vladimir_Putin
Hispanic,http://dbpedia.org/resource/Race_and_ethnicity_in_the_United_States_Census
Somalia,http://dbpedia.org/resource/Somalia
Carol Moseley Braun,http://dbpedia.org/resource/Carol_Moseley_Braun
Colorado,http://dbpedia.org/resource/Colorado
TIME Magazine's Time Person of the Year,http://dbpedia.org/resource/Time_(magazine)
Buddha,http://dbpedia.org/resource/Gautama_Buddha
the International Space Station,http://dbpedia.org/resource/International_Space_Station
Valerie Jarrett,http://dbpedia.org/resource/Valerie_Jarrett
North Carolina,http://dbpedia.org/resource/North_Carolina
A New Beginning,http://dbpedia.org/resource/NJPW_The_New_Beginning
Calvert School,http://dbpedia.org/resource/Calvert_School
United Nations,http://dbpedia.org/resource/United_Nations
Audio Publishers Association,http://dbpedia.org/resource/Audio_Publishers_Association
the U.S. Senate,http://dbpedia.org/resource/United_States_Senate
Central Jakarta,http://dbpedia.org/resource/Central_Jakarta
Hispanic American,http://dbpedia.org/resource/Race_and_ethnicity_in_the_United_States_Census
the Senate Foreign Relations Committee,http://dbpedia.org/resource/United_States_Senate_Committee_on_Foreign_Relations
the Norwegian Nobel Committee,http://dbpedia.org/resource/Norwegian_Nobel_Committee
the Business International Corporation,http://dbpedia.org/resource/Business_International_Corporation
Northwestern University School of Law,http://dbpedia.org/resource/Northwestern_University
the Norwegian Nobel Committee's,http://dbpedia.org/resource/Norwegian_Nobel_Committee
A Promised Land (2020,http://dbpedia.org/resource/Promised_Land
Australia,http://dbpedia.org/resource/Australia
the University of Chicago,http://dbpedia.org/resource/Chicago
Peter Fitzgerald,http://dbpedia.org/resource/Peter_Fitzgerald_(politician)
Family Emmy Awards,http://dbpedia.org/resource/Emmy_Award
