Entity,DBpedia_URI
Willy Brandt,http://dbpedia.org/resource/Willy_Brandt
"Paul van Dyk, Felix Jaehn",http://dbpedia.org/resource/Paul_van_Dyk
Allianz,http://dbpedia.org/resource/Allianz
Belarusians,http://dbpedia.org/resource/Belarusians
the Paris Agreement,http://dbpedia.org/resource/Paris_Agreement
South West Africa,http://dbpedia.org/resource/South_West_Africa
North Frisian,http://dbpedia.org/resource/North_Frisian_language
Ruhr,http://dbpedia.org/resource/Ruhr
the German Bundestag,http://dbpedia.org/resource/Bundestag
Johann Gottlieb Fichte,http://dbpedia.org/resource/Johann_Gottlieb_Fichte
Berlin Brandenburg Airport,http://dbpedia.org/resource/Berlin_Brandenburg_Airport
Robin Schulz,http://dbpedia.org/resource/Robin_Schulz
Germania Romana,http://dbpedia.org/resource/Germania
Proto-Germanic,http://dbpedia.org/resource/Proto-Germanic_language
Friedrich Engels,http://dbpedia.org/resource/Friedrich_Engels
Charlemagne,http://dbpedia.org/resource/Charlemagne
Richard Wagner,http://dbpedia.org/resource/Richard_Wagner
the Austro-Prussian War,http://dbpedia.org/resource/Austro-Prussian_War
the Southern Alps,http://dbpedia.org/resource/Southern_Alps
LGBT,http://dbpedia.org/resource/LGBT
East Africa,http://dbpedia.org/resource/East_Africa
Heidelberg University,http://dbpedia.org/resource/Heidelberg_University
Bertelsmann,http://dbpedia.org/resource/Bertelsmann
the Max Planck Society,http://dbpedia.org/resource/Max_Planck_Society
Dieterich Buxtehude,http://dbpedia.org/resource/Dieterich_Buxtehude
East Francia,http://dbpedia.org/resource/East_Francia
the Franco-Prussian War,http://dbpedia.org/resource/Franco-Prussian_War
Neue Deutsche Welle,http://dbpedia.org/resource/Neue_Deutsche_Welle
Hohenstaufen,http://dbpedia.org/resource/Hohenstaufen
Hesse,http://dbpedia.org/resource/Hesse
Saarland,http://dbpedia.org/resource/Saarland
Sebastian Vettel,http://dbpedia.org/resource/Sebastian_Vettel
the North German Confederation,http://dbpedia.org/resource/North_German_Confederation
the Frankfurt School,http://dbpedia.org/resource/Frankfurt_School
Norway,http://dbpedia.org/resource/Norway
Togoland,http://dbpedia.org/resource/Togoland
Der Spiegel,http://dbpedia.org/resource/Der_Spiegel
Gotthold Ephraim Lessing,http://dbpedia.org/resource/Gotthold_Ephraim_Lessing
the New Leipzig School,http://dbpedia.org/resource/New_Leipzig_School
Neuendorf-Sachsenbande,http://dbpedia.org/resource/Neuendorf-Sachsenbande
the Dresden Frauenkirche,http://dbpedia.org/resource/Dresden_Frauenkirche
Munich Airport,http://dbpedia.org/resource/Munich_Airport
Volkswagen,http://dbpedia.org/resource/Volkswagen
Wirtschaftswunder,http://dbpedia.org/resource/Wirtschaftswunder
the French Revolutionary Wars,http://dbpedia.org/resource/French_Revolutionary_Wars
Max Liebermann,http://dbpedia.org/resource/Max_Liebermann
Johann Sebastian Bach,http://dbpedia.org/resource/Johann_Sebastian_Bach
Autobahn,http://dbpedia.org/resource/Autobahn
Afghanistan,http://dbpedia.org/resource/Afghanistan
Roman province,http://dbpedia.org/resource/Roman_province
the Helmholtz Association,http://dbpedia.org/resource/Hermann_von_Helmholtz
Judaism,http://dbpedia.org/resource/Judaism
Federal Constitutional Court,http://dbpedia.org/resource/Federal_Constitutional_Court
the Berlin Conference,http://dbpedia.org/resource/Berlin_Conference
Socialist Unity Party,http://dbpedia.org/resource/Socialist_Unity_Party_of_Germany
Eurostat,http://dbpedia.org/resource/Eurostat
Alps,http://dbpedia.org/resource/Alps
the Protestant Reformation,http://dbpedia.org/resource/Reformation
the Hanseatic League,http://dbpedia.org/resource/Hanseatic_League
Klemens von Metternich,http://dbpedia.org/resource/Klemens_von_Metternich
Kraftwerk,http://dbpedia.org/resource/Kraftwerk
Kamerun,http://dbpedia.org/resource/Kamerun
Rhine,http://dbpedia.org/resource/Rhine
the Vorpommern Lagoon Area,http://dbpedia.org/resource/Western_Pomerania
the World Bank,http://dbpedia.org/resource/World_Bank
Free Democratic Party,http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland
Bible,http://dbpedia.org/resource/Bible
Zollverein,http://dbpedia.org/resource/Zollverein
Swabia,http://dbpedia.org/resource/Swabia
China,http://dbpedia.org/resource/China
Porsche,http://dbpedia.org/resource/Porsche
The Berlin Fashion Week,http://dbpedia.org/resource/Berlin_Fashion_Week
the FIFA World Cup,http://dbpedia.org/resource/FIFA
Romanesque,http://dbpedia.org/resource/Romanesque_architecture
The Nazi Party,http://dbpedia.org/resource/Nazi_Party
the European Bronze Age,http://dbpedia.org/resource/Bronze_Age
Georg Friedrich Händel,http://dbpedia.org/resource/George_Frideric_Handel
Wim Wenders,http://dbpedia.org/resource/Wim_Wenders
Rhineland,http://dbpedia.org/resource/Rhineland
the Müritz National Park,http://dbpedia.org/resource/Müritz_National_Park
Gottlob Frege's,http://dbpedia.org/resource/Gottlob_Frege
Wartburg,http://dbpedia.org/resource/Wartburg
the Harz National Park,http://dbpedia.org/resource/Harz
Michael Schumacher,http://dbpedia.org/resource/Michael_Schumacher
Art Deco,http://dbpedia.org/resource/Art_Deco
Felix Mendelssohn,http://dbpedia.org/resource/Felix_Mendelssohn
